LOB,PAYER_TYPE,BT_CAT,MR_LINE_COM_BT,BENCH_YEAR,LM_ACPT,LM_AUPT,LM_AC,LM_ACPMPM,WM_ACPT,WM_AUPT,WM_AC,WM_ACPMPM,fCPTlm_TRD,bCPTlm_TRD,fUPTlm_TRD,bUPTlm_TRD,fCPTwm_TRD,bCPTwm_TRD,fUPTwm_TRD,bUPTwm_TRD,fAClm_TRD,bAClm_TRD,fACwm_TRD,bACwm_TRD
COMMERCIAL,,HIP,I12,2015,14.460000,64.350000,18472.7273,99.060000,11.300000,47.200000,19444.0678,76.4800,0.045833,-0.045833,-0.133333,0.133333,-0.002500,0.002500,-0.110000,0.110000,61.084150,-61.084150,36.374183,-36.374183
COMMERCIAL,,HIP,I12,2016,15.010000,62.750000,19205.7371,100.430000,11.270000,45.880000,19880.5580,76.0100,-0.051843,-0.045833,0.285671,0.133333,-0.079164,0.002500,0.050796,0.110000,106.137291,-61.084150,70.834316,-36.374183
COMMERCIAL,,HIP,I12,2017,14.387877,66.178058,20479.3846,112.940492,10.320030,46.489547,20730.5698,80.3129,-0.025534,0.051843,-0.005920,-0.285671,-0.006669,0.079164,0.038371,-0.050796,76.197983,-106.137291,98.863591,-70.834316
COMMERCIAL,,HIP,I12,2018,14.081466,66.107016,21393.7604,117.856472,10.240000,46.950000,21916.9329,85.7500,-0.017012,0.025534,0.004566,0.005920,0.018333,0.006669,0.129167,-0.038371,129.541383,-76.197983,84.310575,-98.863591
COMMERCIAL,,HIP,I12,2019,13.877312,66.161818,22948.2570,126.524867,10.460000,48.500000,22928.6598,92.6700,-0.013270,0.017012,0.018897,-0.004566,-0.012919,-0.018333,0.000127,-0.129167,80.160725,-129.541383,114.208491,-84.310575
COMMERCIAL,,HIP,I12,2020,13.718069,66.388592,23910.1857,132.280297,10.304975,48.501525,24299.1617,98.2122,-0.013270,0.013270,0.018897,-0.018897,-0.012919,0.012919,0.000127,-0.000127,80.160725,-80.160725,114.208491,-114.208491
COMMERCIAL,,HIP,I13a,2015,3.000000,20.870000,2489.6981,4.330000,1.340000,7.600000,2573.6842,1.6300,-0.017500,0.017500,-0.123333,0.123333,0.015833,-0.015833,0.039167,-0.039167,-4.277316,4.277316,11.052958,-11.052958
COMMERCIAL,,HIP,I13a,2016,2.790000,19.390000,2438.3703,3.940000,1.530000,8.070000,2706.3197,1.8200,-0.006280,0.017500,0.001211,0.123333,0.040910,-0.015833,0.329804,-0.039167,-4.175716,4.277316,-25.371100,-11.052958
COMMERCIAL,,HIP,I13a,2017,2.714636,19.404542,2388.2617,3.861927,2.020916,12.027646,2401.8665,2.4074,0.027733,0.006280,0.161345,-0.001211,-0.008410,-0.040910,-0.036471,-0.329804,12.999033,4.175716,-4.297041,25.371100
COMMERCIAL,,HIP,I13a,2018,3.047434,21.340690,2544.2501,4.524671,1.920000,11.590000,2350.3020,2.2700,0.003623,-0.027733,0.000391,-0.161345,0.010000,0.008410,0.127500,0.036471,6.962400,-12.999033,10.696375,4.297041
COMMERCIAL,,HIP,I13a,2019,3.090912,21.345391,2627.7989,4.674283,2.040000,13.120000,2478.6585,2.7100,0.022985,-0.003623,0.158734,-0.000391,0.031320,-0.010000,0.180102,-0.127500,3.916458,-6.962400,17.288491,-10.696375
COMMERCIAL,,HIP,I13a,2020,3.366738,23.250206,2674.7964,5.182464,2.415844,15.281221,2686.1204,3.4206,0.022985,-0.022985,0.158734,-0.158734,0.031320,-0.031320,0.180102,-0.180102,3.916458,-3.916458,17.288491,-17.288491
COMMERCIAL,,HIP,I13b,2015,0.200000,6.370000,885.4003,0.470000,0.100000,1.800000,1000.0000,0.1500,-0.004166,0.004166,-0.154166,0.154166,-0.000833,0.000833,-0.025000,0.025000,8.075050,-8.075050,3.333333,-3.333333
COMMERCIAL,,HIP,I13b,2016,0.150000,4.520000,982.3009,0.370000,0.090000,1.500000,1040.0000,0.1300,-0.002658,0.004166,-0.121602,0.154166,0.000356,0.000833,0.050884,0.025000,13.329883,-8.075050,-12.043583,-3.333333
COMMERCIAL,,HIP,I13b,2017,0.118093,3.060765,1142.2595,0.291349,0.094275,2.110607,895.4770,0.1575,0.003148,0.002658,0.066263,0.121602,-0.002023,-0.000356,-0.061717,-0.050884,13.684883,-13.329883,12.968158,12.043583
COMMERCIAL,,HIP,I13b,2018,0.155878,3.855927,1306.4781,0.419807,0.070000,1.370000,1051.0949,0.1200,0.002691,-0.003148,0.031981,-0.066263,0.001667,0.002023,0.028333,0.061717,8.063083,-13.684883,5.976008,-12.968158
COMMERCIAL,,HIP,I13b,2019,0.188170,4.239703,1403.2351,0.495775,0.090000,1.710000,1122.8070,0.1600,0.001399,-0.002691,0.031528,-0.031981,0.000645,-0.001667,0.051170,-0.028333,2.091383,-8.063083,9.959366,-5.976008
COMMERCIAL,,HIP,I13b,2020,0.204961,4.618045,1428.3317,0.549675,0.097738,2.324040,1242.3194,0.2406,0.001399,-0.001399,0.031528,-0.031528,0.000645,-0.000645,0.051170,-0.051170,2.091383,-2.091383,9.959366,-9.959366
COMMERCIAL,,HIP,I14a,2015,1.200000,10.260000,1321.6374,1.130000,0.500000,2.500000,3408.0000,0.7100,0.000833,-0.000833,-0.044166,0.044166,0.005000,-0.005000,0.012500,-0.012500,10.110208,-10.110208,-4.754716,4.754716
COMMERCIAL,,HIP,I14a,2016,1.210000,9.730000,1442.9599,1.170000,0.560000,2.650000,3350.9434,0.7400,0.020611,-0.000833,0.170493,0.044166,0.005757,-0.005000,0.108198,-0.012500,29.269650,-10.110208,-125.182016,4.754716
COMMERCIAL,,HIP,I14a,2017,1.457339,11.775926,1794.1957,1.760693,0.629079,3.948378,1848.7592,0.6083,0.007825,-0.020611,0.094447,-0.170493,0.005077,-0.005757,0.022635,-0.108198,10.973091,-29.269650,21.292183,125.182016
COMMERCIAL,,HIP,I14a,2018,1.551247,12.909301,1925.8728,2.071806,0.690000,4.220000,2104.2654,0.7400,-0.013483,-0.007825,-0.147176,-0.094447,0.004167,-0.005077,0.030000,-0.022635,9.176291,-10.973091,25.517908,-21.292183
COMMERCIAL,,HIP,I14a,2019,1.389445,11.143178,2035.9883,1.890615,0.740000,4.580000,2410.4803,0.9200,0.010332,0.013483,0.082866,0.147176,0.008277,-0.004167,0.111419,-0.030000,3.034441,-9.176291,-21.205550,-25.517908
COMMERCIAL,,HIP,I14a,2020,1.513436,12.137570,2072.4016,2.096160,0.839324,5.917031,2156.0137,1.0631,0.010332,-0.010332,0.082866,-0.082866,0.008277,-0.008277,0.111419,-0.111419,3.034441,-3.034441,-21.205550,21.205550
COMMERCIAL,,HIP,I14b,2015,0.900000,15.250000,904.9180,1.150000,0.580000,7.400000,1394.5946,0.8600,-0.023333,0.023333,-0.429166,0.429166,-0.006667,0.006667,-0.102500,0.102500,12.708975,-12.708975,8.581191,-8.581191
COMMERCIAL,,HIP,I14b,2016,0.620000,10.100000,1057.4257,0.890000,0.500000,6.170000,1497.5689,0.7700,-0.013846,0.023333,-0.275936,0.429166,-0.004378,0.006667,0.016072,0.102500,19.043983,-12.708975,-23.192200,-8.581191
COMMERCIAL,,HIP,I14b,2017,0.453840,6.788765,1285.9535,0.727503,0.447461,6.362863,1219.2625,0.6465,0.008018,0.013846,0.114210,0.275936,-0.012288,0.004378,-0.203572,-0.016072,11.511341,-19.043983,25.945808,23.192200
COMMERCIAL,,HIP,I14b,2018,0.550065,8.159293,1424.0896,0.968297,0.300000,3.920000,1530.6122,0.5000,0.012018,-0.008018,0.116872,-0.114210,0.006667,0.012288,0.075833,0.203572,20.208125,-11.511341,0.813375,-25.945808
COMMERCIAL,,HIP,I14b,2019,0.694284,9.561761,1666.5871,1.327959,0.380000,4.830000,1540.3727,0.6200,0.005163,-0.012018,0.071105,-0.116872,0.009310,-0.006667,0.144252,-0.075833,2.483808,-20.208125,13.945708,-0.813375
COMMERCIAL,,HIP,I14b,2020,0.756240,10.415031,1696.3928,1.472332,0.491714,6.561024,1707.7212,0.9337,0.005163,-0.005163,0.071105,-0.071105,0.009310,-0.009310,0.144252,-0.144252,2.483808,-2.483808,13.945708,-13.945708
COMMERCIAL,,HIP,I21,2015,7.960000,18.080000,12315.6478,9.080000,8.700000,15.700000,13354.7209,8.5500,-0.029999,0.029999,-0.050000,0.050000,0.000000,0.000000,0.000000,0.000000,84.329483,-84.329483,55.969366,-55.969366
COMMERCIAL,,HIP,I21,2016,7.600000,17.480000,13327.6016,9.500000,8.700000,15.700000,14026.3533,8.9800,-0.001632,0.029999,0.021119,0.050000,-0.006620,0.000000,0.071951,0.000000,41.766041,-84.329483,62.736432,-55.969366
COMMERCIAL,,HIP,I21,2017,7.580403,17.733447,13828.7941,10.000176,8.620571,16.563413,14779.1905,9.9823,0.000000,0.001632,-0.030408,-0.021119,-0.017547,0.006620,-0.023618,-0.071951,85.737591,-41.766041,85.163641,-62.736432
COMMERCIAL,,HIP,I21,2018,7.580403,17.368546,14857.6452,10.523098,8.410000,16.280000,15801.1542,10.4900,0.003134,0.000000,0.012243,0.030408,0.000000,0.017547,-0.012500,0.023618,147.305833,-85.737591,116.135424,-85.163641
COMMERCIAL,,HIP,I21,2019,7.618014,17.515466,16625.3152,11.874676,8.410000,16.130000,17194.7793,11.3100,0.000000,-0.003134,0.000000,-0.012243,0.000084,0.000000,0.011371,0.012500,96.865816,-147.305833,176.070441,-116.135424
COMMERCIAL,,HIP,I21,2020,7.618014,17.515466,17787.7050,12.704916,8.411010,16.266443,19307.6246,12.8071,0.000000,0.000000,0.000000,0.000000,0.000084,-0.000084,0.011371,-0.011371,96.865816,-96.865816,176.070441,-176.070441
COMMERCIAL,,HIP,I22,2015,3.840000,14.000000,13856.7978,7.980000,3.100000,9.600000,14256.9559,5.6300,-0.022499,0.022499,-0.067499,0.067499,0.000000,0.000000,0.026666,-0.026666,83.199366,-83.199366,84.206774,-84.206774
COMMERCIAL,,HIP,I22,2016,3.570000,13.190000,14855.1902,8.060000,3.100000,9.920000,15267.4372,6.2300,0.001632,0.022499,0.046512,0.067499,-0.020311,0.000000,-0.000470,-0.026666,109.636141,-83.199366,77.470607,-84.206774
